หลักทรัพย์,เครื่องหมาย,เปิด,สูงสุด,ต่ำสุด,ล่าสุด,เปลี่ยนแปลง,%เปลี่ยนแปลง,เสนอซื้อ,เสนอขาย,ปริมาณ(หุ้น),มูลค่า('000 บาท)
ADVANC,,176.0,177.0,176.0,177.0,0.5,0.28,176.5,177.0,392366,69184.61
AOT,,60.25,60.75,60.0,60.25,,,60.25,60.5,691160,41726.63
AWC,,4.64,4.72,4.62,4.7,0.06,1.29,4.7,4.72,9508388,44478.66
BAM,,21.5,21.5,21.4,21.4,0.1,0.47,21.4,21.5,3337532,71531.99
BBL,,121.5,121.5,120.0,121.0,-0.5,-0.41,120.5,121.0,1422600,171993.4
BDMS,,21.6,21.7,21.5,21.6,0.1,0.47,21.6,21.7,4651045,100509.38
BEM,,8.2,8.25,8.2,8.25,0.05,0.61,8.2,8.25,1862770,15275.62
BGRIM,,52.25,52.5,51.75,52.25,0.25,0.48,52.0,52.25,890350,46491.11
BH,,128.0,128.0,126.0,126.0,-2.0,-1.56,126.0,126.5,302907,38441.49
BJC,,35.25,35.5,35.0,35.5,0.25,0.71,35.25,35.5,253936,8958.88
BTS,,9.7,9.8,9.7,9.8,0.1,1.03,9.75,9.8,3440770,33532.88
CBG,,146.0,147.0,145.0,147.0,2.5,1.73,147.0,147.5,1545683,226091.63
COM7,,43.5,44.0,43.5,43.5,,,43.5,43.75,308953,13510.38
CPALL,,58.0,58.25,58.0,58.0,,,58.0,58.25,1519832,88278.52
CPF,,28.25,28.5,28.0,28.25,,,28.0,28.25,3655762,103042.03
CPN,,52.25,52.25,51.5,51.5,-0.75,-1.44,51.5,51.75,680037,35305.02
CRC,,32.0,32.25,31.75,32.0,,,31.75,32.0,643347,20588.1
DELTA,,530.0,540.0,512.0,518.0,-38.0,-6.83,518.0,520.0,435901,229291.9
DTAC,,33.0,33.25,33.0,33.0,,,33.0,33.25,196346,6488.81
EA,,68.5,69.5,67.75,68.25,-0.5,-0.73,68.25,68.5,19013819,1304248.61
EGCO,,187.0,188.5,186.5,188.0,1.0,0.53,187.5,188.0,145482,27286.61
GLOBAL,,21.4,21.4,21.2,21.3,0.3,1.43,21.2,21.3,1559134,33162.08
GPSC,,83.5,83.75,82.75,83.0,-0.5,-0.6,83.0,83.25,6718911,559082.48
GULF,,34.25,35.25,34.0,35.0,1.0,2.94,34.75,35.0,9962383,346467.67
HMPRO,,14.5,14.6,14.3,14.3,-0.2,-1.38,14.3,14.4,6209037,89721.47
INTUCH,,57.75,58.0,57.5,57.75,,,57.5,57.75,423500,24458.78
IVL,,38.25,38.5,37.75,38.0,-0.25,-0.65,37.75,38.0,3077048,117342.44
KBANK,,127.0,128.0,126.0,127.0,-0.5,-0.39,126.5,127.0,3837627,487196.82
KTB,,11.9,12.1,11.8,11.9,-0.1,-0.83,11.8,11.9,6811352,81373.31
KTC,,67.75,67.75,65.75,67.25,-1.0,-1.47,67.0,67.25,6473581,433316.7
LH,,8.05,8.1,8.0,8.05,,,8.0,8.05,2398574,19315.35
MINT,,26.25,26.5,26.0,26.25,,,26.0,26.25,979321,25700.96
MTC,,66.25,66.25,65.75,66.0,,,65.75,66.0,234110,15466.66
OSP,,37.0,37.5,36.75,37.5,0.75,2.04,37.25,37.5,5385106,200313.99
PTT,,39.5,39.75,39.25,39.5,-0.25,-0.63,39.5,39.75,8084867,319237.92
PTTEP,,112.5,113.0,112.0,113.0,1.0,0.89,112.5,113.0,381975,43015.49
PTTGC,,62.5,62.75,62.25,62.5,-0.25,-0.4,62.5,62.75,527835,32997.84
RATCH,,50.5,51.5,50.5,51.0,0.5,0.99,50.75,51.0,1062730,54238.66
SAWAD,,68.75,69.0,68.25,68.75,0.25,0.36,68.5,68.75,999926,68691.46
SCB,,97.25,97.5,95.25,96.0,-0.25,-0.26,95.75,96.0,3756646,361508.31
SCC,,394.0,395.0,393.0,393.0,-2.0,-0.51,393.0,394.0,258679,101887.75
SCGP,,47.0,47.5,47.0,47.0,0.25,0.53,47.0,47.25,9295956,438574.8
TISCO,,95.5,95.5,94.75,95.25,-0.25,-0.26,95.0,95.25,511553,48709.82
TMB,,1.16,1.16,1.14,1.16,0.01,0.87,1.15,1.16,62379876,71799.94
TOA,,33.25,33.25,33.0,33.25,,,33.0,33.5,236468,7862.23
TOP,,56.25,57.0,56.25,57.0,0.25,0.44,56.75,57.0,376400,21303.18
TRUE,,3.32,3.32,3.28,3.3,,,3.28,3.3,7689311,25372.86
TTW,,12.1,12.2,12.1,12.2,,,12.1,12.2,540030,6534.89
TU,,14.6,14.7,14.5,14.6,0.2,1.39,14.5,14.6,3323000,48527.61
VGI,,6.95,6.95,6.85,6.9,-0.05,-0.72,6.85,6.9,1529517,10555.85
